Town Code,Town,Year,2010 Census Units,Government Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
132,South Windsor,2021,10243,443,57,186,12,698,6.81
130,Southbury,2021,9091,90,7,31,0,128,1.41
131,Southington,2021,17447,499,62,317,54,932,5.34
133,Sprague,2021,1248,20,12,24,1,57,4.57
134,Stafford,2021,5124,257,20,115,0,392,7.65
135,Stamford,2021,50573,4219,2073,383,1270,7945,15.71
136,Sterling,2021,1511,0,6,21,0,27,1.79
137,Stonington,2021,9467,441,19,79,2,541,5.71
138,Stratford,2021,21091,524,425,344,33,1326,6.29
139,Suffield,2021,5469,296,6,48,15,365,6.67
140,Thomaston,2021,3276,104,5,97,0,206,6.29
141,Thompson,2021,4171,151,13,42,0,206,4.94
142,Tolland,2021,5451,127,12,95,3,237,4.35
143,Torrington,2021,16761,912,328,513,17,1770,10.56
144,Trumbull,2021,13157,315,19,82,315,731,5.56
145,Union,2021,388,0,0,6,0,6,1.55
146,Vernon,2021,13896,1509,470,348,12,2339,16.83
147,Voluntown,2021,1127,20,1,22,0,43,3.82
148,Wallingford,2021,18945,354,142,296,35,827,4.37
149,Warren,2021,811,0,0,1,0,1,0.12
150,Washington,2021,2124,17,2,3,23,45,2.12
151,Waterbury,2021,47991,5385,3156,1597,48,10186,21.22
152,Waterford,2021,8634,213,33,239,0,485,5.62
153,Watertown,2021,9096,205,33,216,0,454,4.99
155,West Hartford,2021,26396,643,852,320,250,2065,7.82
156,West Haven,2021,22446,1024,2119,395,0,3538,15.76
154,Westbrook,2021,3937,140,5,29,29,203,5.16
157,Weston,2021,3674,0,2,6,0,8,0.22
158,Westport,2021,10399,265,60,2,63,390,3.75
159,Wethersfield,2021,11677,705,109,258,0,1072,9.18
160,Willington,2021,2637,160,6,35,0,201,7.62
161,Wilton,2021,6475,158,9,14,51,232,3.58
162,Winchester,2021,5613,350,170,84,0,604,10.76
163,Windham,2021,9570,1776,597,338,0,2711,28.33
164,Windsor,2021,11767,154,288,420,26,888,7.55
165,Windsor Locks,2021,5429,297,154,224,0,675,12.43
166,Wolcott,2021,6276,313,14,174,0,501,7.98
167,Woodbridge,2021,3478,30,8,3,0,41,1.18
168,Woodbury,2021,4564,60,4,27,0,91,1.99
169,Woodstock,2021,3582,24,0,28,0,52,1.45
